filename,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9
000002.mp3,-0.2134929,-0.889261,0.3001141,-1.3963631,-0.20212592,-0.78260195,0.4273651,-0.37887287,-0.2061069,0.24542627
000003.mp3,0.38163447,-0.5715002,-0.49839222,-0.9110558,0.14429793,-0.13552961,-0.29110843,0.23822011,-0.19081414,0.59971136
000005.mp3,1.5162046,-0.18714081,0.84674436,-1.1511701,0.056884624,-1.1810412,-0.99859375,0.6920176,-0.19381563,-0.37284347
000010.mp3,-0.87578255,-1.4281317,0.076498166,0.8011292,-0.037354637,-0.45563608,0.28773203,-0.7046231,-0.14738764,0.3423942
000020.mp3,1.8639873,0.421322,-0.032939862,-0.049970206,0.33916703,-0.044251222,0.014663427,-0.47264853,-0.010678071,-0.4933362
000026.mp3,1.2178105,1.2497036,-0.9015136,-0.077023365,-0.082721055,0.036501024,-0.4227907,0.43605322,-0.06596573,-0.7864561
000030.mp3,1.0623598,0.7671308,-0.008696819,-1.6704487,-0.74391884,0.72289383,0.61402446,-0.5035916,-0.27537155,0.4134531
000046.mp3,1.2313747,0.8885423,1.0521568,0.008598569,0.5659846,0.049011562,-0.86821955,-0.22610222,-0.28966925,-0.5149826
000048.mp3,1.8799824,0.54210514,-1.061645,-1.8177612,1.1970649,0.94086283,-1.2415607,0.97948307,-1.3751665,0.9509533
000134.mp3,3.0156746,-0.31035414,0.8325687,-0.060952693,0.062599406,-0.14723124,-0.48211354,0.12451382,0.104407035,0.6761641
000135.mp3,-1.0591928,-0.9880433,1.104097,-0.45060363,-0.43207225,-0.69596463,0.6359727,-0.0058127074,-0.4142273,-0.27131522
000136.mp3,-0.6493074,-0.33424106,0.5118984,-0.5448532,-0.20558675,-2.073228,-0.1290952,-0.059572976,-1.2812612,0.15342095
000137.mp3,-3.0012813,-1.8178954,0.83709955,1.7968038,1.8007061,-0.04685069,-1.6991477,-0.71582943,0.062380232,1.4805816
000138.mp3,-1.5247034,-1.6908412,0.41774252,-1.5425013,1.2759039,-0.70432913,-0.9492291,-0.63484895,1.4479882,0.08175674
000139.mp3,0.09091026,-0.8344682,0.27351782,0.17391461,-0.50031805,-0.05157154,0.3504556,-0.97356397,0.6147949,1.0513848
000140.mp3,1.4788414,2.3744943,-1.64189,-0.8852077,0.3501032,0.50265384,0.19545034,-0.6812751,0.31204125,0.71437263
000141.mp3,-0.42710534,1.5813037,0.06646557,0.13600251,-0.34825602,0.41991428,0.5075097,-1.3241309,0.49756494,0.39574516
000142.mp3,1.5554941,-0.19318594,-0.11990174,0.7209952,-0.36935553,-0.40351486,0.5995488,0.46291712,0.6208681,-0.81536585
000144.mp3,0.13020417,-0.76652014,0.15108025,-0.06680965,-0.34441257,1.4721586,-0.50073373,-0.47014692,0.5456122,-0.28299752
000145.mp3,0.5300902,-0.48310083,0.70492256,-0.36830664,-0.6622146,0.041364614,-1.3546399,-0.22035187,-0.0143980505,-1.0024568
000146.mp3,1.3455538,-1.347364,-1.1202774,-0.26925254,0.18918319,-0.5206305,-0.4915092,0.47035787,0.24557796,-0.028788779
000147.mp3,-0.03890652,-1.3028288,-0.43970707,-0.4377574,0.27692556,0.16889647,-1.1552726,0.47096986,0.3040604,-0.11273931
000148.mp3,2.0044696,-0.624561,0.8044813,0.80174387,0.8506561,-0.27517384,0.0033015371,0.39901203,-0.9099572,0.16619532
000149.mp3,-1.5807071,2.0756493,-0.7999792,-1.7742004,-1.273199,-1.0402014,-0.10476359,0.804543,-0.3245295,-0.2563333
000150.mp3,1.2389354,2.3873181,0.6166463,-0.58464664,-0.7561153,0.23727794,-0.9896902,0.12361732,-0.7702477,-0.14617907
000151.mp3,1.7356489,-0.35476094,-0.24804631,1.4775844,-0.45378068,-0.7815454,0.26082376,-0.30687058,-0.36173898,0.34221697
000152.mp3,-0.3778595,-0.2877623,-0.69543874,0.33911726,0.3013923,-0.18136114,-0.021341251,-0.2382866,-0.23616827,-0.26288664
000153.mp3,-1.6006299,-0.3707137,0.37595746,1.3753299,0.62132764,0.17937367,-0.32237035,-1.421442,-0.72425133,-0.3872959
000154.mp3,-0.09223065,3.568398,0.22220786,-0.9208036,0.6794223,-0.5981662,-0.29693094,-0.08730572,-0.04977148,-0.45127445
000155.mp3,-2.2568583,-0.5080597,0.08819331,-0.52358276,0.5516996,0.7171682,0.9179434,-1.6263293,-0.3478649,-0.18749528
000156.mp3,-0.1796258,1.2146311,0.7309061,-0.502699,0.21989338,0.2827653,0.71944696,0.65846765,0.60927236,0.22831441
000157.mp3,-0.70179725,1.0726376,1.3965267,-0.2793468,-0.5400437,-0.70367897,-0.17322244,0.015431584,0.79450464,0.13902582
000158.mp3,-1.8235948,1.811683,-0.6481657,-0.6504311,0.010051306,-0.52475536,-0.27122355,0.09860707,0.38131893,-0.18337955
000159.mp3,-1.2590586,1.7425561,-0.55577713,-0.6085864,0.16807747,0.3494907,-0.16538474,0.27938232,0.6434447,0.011470169
000160.mp3,-0.8455505,1.5151031,-0.35111004,-0.5181972,0.19452105,0.7740434,2.1264172,0.64356977,0.10900487,-0.058358755
000161.mp3,-1.5247984,0.88376945,-0.06310611,0.47350833,1.1805186,-0.5796466,-0.12729633,-0.0955505,0.6733737,0.24498788
000162.mp3,-1.8191835,1.2207525,1.357033,0.5076052,0.5614985,0.40380538,-1.4732336,-0.24741088,0.5674873,0.17178386
000163.mp3,-3.2101955,1.5778706,0.16321509,0.7825405,1.3986217,0.7812437,-0.38882115,-0.21460572,0.46787128,0.3328579
000164.mp3,-2.5496106,1.4623765,2.7344785,-0.18805154,0.17950138,-0.7925271,-2.1830544,-0.288492,0.21606395,-0.6683999
000165.mp3,-3.7595382,1.8297093,-0.84949464,-0.6227366,0.58240044,-0.9110864,-0.07029349,0.002497363,-0.367267,-0.76045555
000166.mp3,-1.7164258,1.9156861,-0.90731037,-0.52677375,0.38729012,-0.2129791,-0.06120049,0.47264433,0.22120692,0.32198045
000167.mp3,-2.380339,2.2397513,-0.31256425,-0.7320705,0.7484071,-1.3968693,-0.19370656,0.48361373,0.33455378,-0.42343822
000168.mp3,-0.3905507,2.0056336,-0.12055475,-0.557324,-0.08746211,0.27566287,0.89192593,0.3408194,1.5086521,-0.1511392
000169.mp3,-0.012559776,0.68256974,-0.3354824,0.19836493,-0.54480684,1.9357436,-3.1185467,1.0970987,-1.7744248,-0.78006214
000170.mp3,0.984123,-0.58169603,0.53737724,1.528045,2.535387,0.002264211,-0.40141603,-0.08133937,1.2321727,-0.86271346
000171.mp3,-0.03149003,-0.061191965,0.4794155,0.69625986,0.6945007,-0.2357036,0.30662727,0.05366444,0.17881028,-0.61098087
